condition,ra,n_bis,inclusion_code,immediacy_code,bi_desc,principal_beneficiaries,reasoning
1258522;inc_adv_uni-ext_dir_int-b,1,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,"The primary beneficiary is a VT graduate student, explicitly mentioned in the text.","The broader impact is the training and career development of a graduate student, which is directly related to the research but not its primary goal."
1258522;inc_adv_uni-ext_dir_int-b,1,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society for mitigation against space weather disruptions affecting satellite communication, navigation systems, and the electrical power grid.","The primary beneficiaries are society at large, inferred from the text.","The broader impact is the societal benefit of mitigating space weather disruptions, which is inherent to the research on ionospheric electrodynamics."
1258522;inc_adv_uni-ext_dir_int-b,2,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,"A VT graduate student, explicitly mentioned.","The primary beneficiary is a graduate student, which aligns with the `advantaged` category, and the training is directly related to the research project."
1258522;inc_adv_uni-ext_dir_int-b,2,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society beyond the space science research domain, useful for mitigation against space weather disruptions affecting satellite communication, navigation systems, and the electrical power grid.","General society, inferred.","The broader impact benefits society at large by improving understanding and mitigation of space weather disruptions, which aligns with the `universal` category and is intrinsic to the research project."
1258522;inc_adv_uni-ext_int_dir-c,1,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,A VT graduate student,"The primary beneficiary of this broader impact is a graduate student, who is receiving career development opportunities."
1258522;inc_adv_uni-ext_int_dir-c,1,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society for mitigation against space weather disruptions which can affect satellite communication, navigation systems, and the electrical power grid.",General society,The improved understanding of ionospheric electrodynamics can benefit anyone by mitigating space weather disruptions.
1258522;inc_adv_uni-ext_int_dir-c,2,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,"A VT graduate student, explicitly mentioned.","The primary beneficiary is a graduate student, which aligns with the advantaged group of scientists."
1258522;inc_adv_uni-ext_int_dir-c,2,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society for mitigation against space weather disruptions affecting satellite communication, navigation systems, and the electrical power grid.","General society, inferred.",The impact is universal as it benefits society at large by improving resilience against space weather disruptions.
1258522;uni_adv_inc-dir_ext_int-a,1,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,"The primary beneficiary is a VT graduate student, explicitly mentioned in the text.",The career development of the graduate student is directly related to the research activities but is not the main purpose of the research.
1258522;uni_adv_inc-dir_ext_int-a,1,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society for mitigation against space weather disruptions which can affect satellite communication, navigation systems, and the electrical power grid.","The primary beneficiaries are the general public and industries reliant on satellite communication, navigation systems, and the electrical power grid, inferred from the text.",The improved understanding of ionospheric electrodynamics is inherent to the research and has broad societal benefits.
1258522;uni_adv_inc-dir_ext_int-a,2,2,advantaged,direct,The grant provided significant career development opportunities for a VT graduate student via his participation in the day-to-day operations of the SuperDARN Space Weather Facility at Virginia Tech.,"The primary beneficiary is a VT graduate student, explicitly mentioned in the text.","The broader impact is the training and career development of a graduate student, which is directly related to the research but not its main purpose."
1258522;uni_adv_inc-dir_ext_int-a,2,2,universal,intrinsic,"Improved understanding of ionospheric electrodynamics has general utility to society for mitigation against space weather disruptions affecting satellite communication, navigation systems, and the electrical power grid.","The primary beneficiaries are society at large, inferred from the text.","The broader impact is the societal benefit of mitigating space weather disruptions, which is a universal benefit."
1258876;adv_uni_inc-ext_int_dir-c,1,3,inclusive,extrinsic,"Participation of underrepresented groups was broadened through the involvement of undergraduates, graduate students, and postdocs, specifically targeting WHOI’s Undergraduate Summer Student Fellows, Postdoctoral Scholars, and WHOI/MIT Joint Program graduate students.","Underrepresented groups in STEM, including undergraduates, graduate students, and postdocs.",The broader impact focuses on increasing participation of underrepresented groups in STEM through targeted involvement in research projects.
1258876;adv_uni_inc-ext_int_dir-c,1,3,universal,direct,Infrastructure for research and education are enhanced through making both existing and newly developed analytical platforms available to scientists and students from diverse disciplines.,Scientists and students from diverse disciplines.,"The broader impact is about enhancing research and educational infrastructure, benefiting a wide range of scientists and students."
1258876;adv_uni_inc-ext_int_dir-c,1,3,universal,direct,Research results are disseminated broadly to enhance scientific and technological understanding through an average of 14 publications per year that resulted from use of the facility.,The scientific community and the public.,The broader impact involves disseminating research results to enhance scientific and technological understanding.
1258876;adv_uni_inc-ext_int_dir-c,2,3,inclusive,direct,"Participation of underrepresented groups was broadened through the involvement of undergraduates, graduate students, and postdocs, specifically targeting WHOI’s Undergraduate Summer Student Fellows, Postdoctoral Scholars, and WHOI/MIT Joint Program graduate students.","Underrepresented groups in STEM, specifically undergraduates, graduate students, and postdocs.","The broader impact focuses on increasing the participation of underrepresented groups in STEM, which aligns with the inclusive category."
1258876;adv_uni_inc-ext_int_dir-c,2,3,universal,direct,Infrastructure for research and education is enhanced by making analytical platforms available to scientists and students from diverse disciplines.,Scientists and students from diverse disciplines.,"Making research infrastructure available to a broad range of scientists and students benefits a wide audience, fitting the universal category."
1258876;adv_uni_inc-ext_int_dir-c,2,3,universal,direct,Research results are disseminated broadly to enhance scientific and technological understanding through an average of 14 publications per year.,The scientific community and the public.,"Disseminating research results broadly benefits the scientific community and the public, fitting the universal category."
1258876;inc_adv_uni-dir_int_ext-a,1,4,inclusive,direct,"Participation of underrepresented groups was broadened through the involvement of undergraduates, graduate students, and postdocs, specifically targeting WHOI’s Undergraduate Summer Student Fellows, Postdoctoral Scholars, and WHOI/MIT Joint Program graduate students.","Underrepresented groups, including undergraduates, graduate students, and postdocs.",The broader impact specifically mentions targeting underrepresented groups for involvement in research projects.
1258876;inc_adv_uni-dir_int_ext-a,1,4,universal,extrinsic,Involvement of young scientists in SIMS-based research is encouraged through annual short-courses.,Young scientists.,The broader impact focuses on encouraging young scientists through educational short-courses.
1258876;inc_adv_uni-dir_int_ext-a,1,4,universal,intrinsic,Infrastructure for research and education are enhanced through making both existing and newly developed analytical platforms available to scientists and students from diverse disciplines.,Scientists and students from diverse disciplines.,"The broader impact involves enhancing research and educational infrastructure, benefiting a wide range of scientists and students."
